id,attributes.board_time,attributes.description,attributes.line_score,attributes.projection_type,attributes.stat_type,attributes.updated_at,relationships.league.data.id,relationships.new_player.data.id,attributes.image_url,attributes.league,attributes.league_id,attributes.name,attributes.position,attributes.team,attributes.team_name
1011828,2023-01-21T22:10:00-05:00,LAC 1st Half,17.5,Single Stat,Points,2023-01-21T22:10:52-05:00,84,55254,https://static.prizepicks.com/images/players/nba/Luka_Doncic_d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7.webp,NBA1H,84.0,Luka Doncic,F-G,DAL,Mavericks
1011980,2023-01-20T00:00:00-05:00,Patrick Cantlay - RD4 - SC,0.0,Single Stat,Birdies Or Better Matchup,2023-01-21T22:05:41-05:00,1,9,https://static.prizepicks.com/images/leagues/football.svg,,,NFL,,,
1011980,2023-01-20T00:00:00-05:00,Patrick Cantlay - RD4 - SC,0.0,Single Stat,Birdies Or Better Matchup,2023-01-21T22:05:41-05:00,1,9,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/golf/low-res/40001199.png,PGA,1.0,Jon Rahm,G,Jon Rahm,
1011959,2023-01-20T00:00:00-05:00,RD 4  - 14 Fairways - SC,10.0,Single Stat,Fairways Hit,2023-01-21T22:17:42-05:00,1,70184,https://static.prizepicks.com/images/players/golf/Joohyung_Kim_aca3420a-9ed0-444d-b214-f831561f7c71.webp,PGA,1.0,Tom Kim,G,Tom Kim,
1012050,2023-01-21T22:10:00-05:00,LAC,44.5,Single Stat,Pts+Rebs,2023-01-21T22:31:11-05:00,7,58830,https://static.prizepicks.com/images/players/nba/Luka_Doncic_d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7.webp,NBA,7.0,Luka Doncic,F-G,DAL,Mavericks
1012751,2021-01-22T02:26:00-05:00,NJ,2.0,Single Stat,Shots On Goal,2023-01-22T02:22:31-05:00,8,58361,https://static.prizepicks.com/images/players/nhl/Bryan_Rust_46d3e792-5729-4b1e-8924-561ab71ac256.webp,NHL,8.0,Bryan Rust,F,PIT,Penguins
1012008,2023-01-21T22:10:00-05:00,LAC 1st Half,26.5,Single Stat,Pts+Rebs+Asts,2023-01-21T22:24:12-05:00,84,55254,https://static.prizepicks.com/images/players/nba/Luka_Doncic_d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7.webp,NBA1H,84.0,Luka Doncic,F-G,DAL,Mavericks
1011844,2023-01-21T22:10:00-05:00,LAC,10.5,Single Stat,Rebounds,2023-01-21T22:11:46-05:00,7,58830,https://static.prizepicks.com/images/players/nba/Luka_Doncic_d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7.webp,NBA,7.0,Luka Doncic,F-G,DAL,Mavericks
1012196,2023-01-21T23:40:00-05:00,BUT,15.5,Single Stat,Points,2023-01-21T23:47:33-05:00,20,59082,https://i.imgur.com/7h1DvhE.png,CBB,20.0,Adama Sanogo,F,CONN,Huskies
1011850,2023-01-21T22:10:00-05:00,LAC,8.5,Single Stat,Assists,2023-01-21T22:11:06-05:00,7,58830,https://static.prizepicks.com/images/players/nba/Luka_Doncic_d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7.webp,NBA,7.0,Luka Doncic,F-G,DAL,Mavericks
